open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2018-08-26 19:00:00,273.89000000,274.03000000,272.51000000,273.51000000,7610.48102000,1535313599999,2079940.52770100,3583,5001.51131000,1366942.10866590,0
2018-08-26 20:00:00,273.51000000,273.53000000,271.73000000,272.38000000,9768.34763000,1535317199999,2661430.53147980,3883,6497.98094000,1770696.37011320,0
2018-08-26 21:00:00,272.58000000,273.17000000,271.95000000,272.35000000,9482.26389000,1535320799999,2583004.26668870,3791,5624.87098000,1532170.81262640,0
2018-08-26 22:00:00,272.33000000,274.00000000,272.23000000,273.40000000,10400.01035000,1535324399999,2837460.78487620,3659,6565.56496000,1791427.29733020,0
2018-08-26 23:00:00,273.34000000,274.90000000,272.46000000,274.29000000,16715.60012000,1535327999999,4567065.03893470,4337,10585.62861000,2892074.60370690,0
2018-08-27 00:00:00,274.17000000,274.60000000,272.94000000,273.68000000,8709.61370000,1535331599999,2382902.35584490,4499,5096.53576000,1394518.70332900,0
2018-08-27 01:00:00,273.53000000,274.00000000,271.60000000,272.36000000,9959.14128000,1535335199999,2717135.66963680,4453,6441.47100000,1757698.30053210,0
2018-08-27 02:00:00,272.31000000,273.19000000,271.83000000,272.56000000,7973.03675000,1535338799999,2172467.23167150,5135,4911.44550000,1338281.85858860,0
2018-08-27 03:00:00,272.50000000,272.60000000,271.59000000,272.14000000,13541.83739000,1535342399999,3686941.62267970,4267,5987.96869000,1630344.98023480,0
2018-08-27 04:00:00,272.19000000,279.51000000,272.02000000,277.52000000,18240.56027000,1535345999999,5055898.16161260,10057,8886.72975000,2461513.79337580,0
2018-08-27 05:00:00,277.54000000,278.95000000,276.92000000,277.80000000,19369.99592000,1535349599999,5384813.71570490,6569,10652.58802000,2961362.91178040,0
2018-08-27 06:00:00,277.71000000,278.40000000,277.41000000,278.06000000,7912.34967000,1535353199999,2199848.27724570,4875,4284.32174000,1191010.24667490,0
2018-08-27 07:00:00,278.07000000,278.66000000,276.51000000,276.63000000,17408.67633000,1535356799999,4831297.53969800,4785,10674.39733000,2960953.24470500,0
